"Island","Year","Site","Site.Num","N.pics","Coral","SD.Coral","CCA","SD.CCA","Turf","SD.Turf"
"Kanton",2002,"British Gas ","K17",NA,28.6,13.3,0.6,0.9,25.2,15.3
"Kanton",2002,"Weird Eddie","K19",NA,83,6.7,11.8,4.2,1.8,1.8
"Kanton",2002,"Coral Castles ","K11",NA,79.4,12.5,0.2,0.4,4.8,5.4
"Kanton",2002,"Satellite Beach","K22",NA,71.4,19.8,12.8,9.7,8.6,5.9
"Kanton",2002,"Six Sticks","K20",NA,41.6,13.9,6.6,6.8,19,12.8
"Orona",2002,"Dolphin Ledge","O8",NA,40.6,3.6,44,10.7,2.6,1.8
"Orona",2002,"Algae Corner","O7",NA,10,2.8,2,3.9,78.6,8.9
"Orona",2002,"Aerials","O11",NA,19.7,10.7,57.7,8.4,13.3,8.7
"Nikumaroro",2002,"Amelias Lost Causeway","N3",NA,38.2,3.2,48.6,8.5,12.4,9
"Nikumaroro",2002,"Naia point","N4",NA,25.7,8.3,18.1,7.2,20.2,8.1
"Nikumaroro",2002,"Windward Wing","N11",NA,58.6,23.5,13.2,5.4,1.4,0.9
"Nikumaroro",2002,"SW corner","N10",NA,41,18.8,24.2,4.5,0.6,0.9
"Orona",2005,"Dolphin Ledge","O8",NA,3.3,5.5,14.5,10.5,17.8,15
"Orona",2005,"Algae Corner","O7",NA,3.2,4,2,2.6,92.6,6.4
"Orona",2005,"Aerials","O11",NA,21.5,4.7,11.5,6,57.8,6.2
"Nikumaroro",2005,"Amelias Lost Causeway","N3",NA,7.8,8.7,28.9,8.8,42.1,12.7
"Nikumaroro",2005,"Naia point","N4",NA,1.8,2.4,23,15.4,42.5,15.9
"Nikumaroro",2005,"Windward Wing","N11",NA,1.9,2.4,32.3,15,8.1,9.8
"Nikumaroro",2005,"SW corner","N10",NA,13.3,12,38.5,12.1,11.3,8.1
"Rawaki",2002,"Clearwater","R3",NA,32.7,14.5,14.6,10.3,6.5,5.3
"Rawaki",2002,"Deepwater","R2",NA,67.6,14.2,10.2,3.8,9.6,4
"Rawaki",2005,"Clearwater","R3",NA,26.8,21.2,41.5,17.1,19,6.8
"Rawaki",2005,"Deepwater","R2",NA,37.6,17.4,29.2,10.8,18.7,6.5
"Kanton",2005,"British Gas ","K17",NA,2.5,3.3,0,0,86,10.9
"Kanton",2005,"Weird Eddie","K19",NA,2.5,3.4,3.5,2.7,67.7,22.4
"Kanton",2005,"Coral Castles ","K11",NA,0,0,7.2,13.3,64.4,24.3
"Kanton",2005,"Satellite Beach","K22",NA,9.1,5.9,13.8,8,40.1,22.2
"Kanton",2005,"Six Sticks","K20",NA,15,9.9,10.8,6.7,23.5,7.4
"Kanton",2009,"Crash Landing","K21",35,38.7428571428571,23.3393669669974,40.5714285714286,NA,12.3428571428571,9.67088674425298
"Kanton",2009,"Oasis","K24",39,20.7179487179487,16.8428474870191,44.4102564102564,NA,13.2307692307692,9.32021441604932
"Kanton",2009,"Satellite Beach","K22",37,35.1351351351351,25.4756552223688,36.2162162162162,NA,24,21.9291789378647
"Kanton",2009,"Six Sticks","K20",40,18.3,19.170222635573,51.6,NA,12,9.01281139438573
"Kanton",2009,"Steep To","K25",37,16.3243243243243,20.2512743824707,46.2702702702703,NA,17.9459459459459,12.5652650543427
"Kanton",2009,"Weird Eddie","K19",40,3.8,7.46684981460362,55.5,NA,29.3,19.2875674052032
"Kanton",2012,"British Gas","K17",40,7.1,14.5281336264046,23.9,NA,58.1,18.0991570847785
"Kanton",2012,"Coral Castles","K11",40,40.45,46.4989385045646,4.6,NA,45.2,38.2134356825798
"Kanton",2012,"Crash Landing","K21",40,48.25,19.3069005864849,36.35,NA,9.3,6.77173613310577
"Kanton",2012,"Satellite Beach","K22",70,39.5428571428571,24.7940418943253,25.6571428571429,NA,12.0571428571429,9.9795235492057
"Kanton",2012,"Six Sticks","K20",41,37.5121951219512,35.0136558725446,17.5609756097561,NA,20.4878048780488,17.7807788794804
"Kanton",2012,"Steep To","K25",40,38.9,32.2965426426215,22.5,NA,25.05,21.1174371988211
"Kanton",2012,"Weird Eddie","K19",30,35.0666666666667,29.2703608277812,21,NA,8.73333333333333,18.6694168745781
"Kanton",2015,"British Gas","K17",35,16.6285714285714,14.8622809473507,28,NA,39.3142857142857,17.6764573050468
"Kanton",2015,"Coral Castles","K11",40,43.15,42.4551346899107,2,NA,21.75,26.875544120908
"Kanton",2015,"Crash Landing","K21",40,57,16.7086650328351,19.35,NA,22.95,12.6165337187725
"Kanton",2015,"Glass Bowl","K29",40,40.1,39.089509380264,2.75,NA,42.9,34.1037632332074
"Kanton",2015,"Guano Alley","K15",40,47.4,33.4210128895595,44.7,NA,7.5,9.03270411281935
"Kanton",2015,"Oasis","K24",40,69.1,17.7096236332331,15.05,NA,12.15,7.97930014282147
"Kanton",2015,"Outta Gas","K",39,53.3333333333333,32.9922904338298,28.2564102564103,NA,9.84615384615385,9.80209016791414
"Kanton",2015,"President Taylor","K18",40,5.5,9.67947868907761,15.6,NA,74.3,22.980705396328
"Kanton",2015,"Satellite Beach","K22",62,35.1290322580645,27.3738440857642,17.741935483871,NA,26.3870967741935,16.5829804502518
"Kanton",2015,"Six Sticks","K20",40,44.5,31.7449773939688,9.8,NA,38.3,31.2198161922347
"Kanton",2015,"South Beach","K28",40,9.75,13.3065435994515,7.05,NA,82.45,16.9008420363739
"Kanton",2015,"Steep To","K25",40,32.65,22.8546690511129,21.05,NA,39.75,21.970551386006
"Kanton",2015,"Weird Eddie","K19",40,15.6,19.7585424563656,20.3,NA,42.5,21.7621171669887
"Kanton",2018,"British Gas","K17",23,4.04347826086957,15.563588803444,24.9130434782609,NA,45.7826086956522,20.9435529714324
"Kanton",2018,"Coral Castles","K11",24,66.25,43.1209119045303,3.54166666666667,NA,6.29166666666667,11.8008075135143
"Kanton",2018,"Core","SW.Corner",26,40.5,28.2619886066073,24.7307692307692,NA,20.8461538461538,18.4101978429181
"Kanton",2018,"Oasis","K24",26,23.3461538461538,18.9861893126395,27.2692307692308,NA,33,18.768057970925
"Kanton",2018,"President Taylor","K18",26,4.15384615384615,6.28453535397682,39.1923076923077,NA,34.4615384615385,19.9102602077035
"Kanton",2018,"Satellite Beach","K22",26,16.6153846153846,21.8743263632541,25.2692307692308,NA,28.3846153846154,14.7920976824166
"Kanton",2018,"Simons","Simons",26,32.3846153846154,17.8102822506033,21.6538461538462,NA,27.7307692307692,8.10213647037714
"Kanton",2018,"Weird Eddie","K19",26,22.9230769230769,22.8471846439303,23.3846153846154,NA,9.57692307692308,5.92738105353841
"Nikumaroro",2009,"Electra Landing","N9",39,8.92307692307692,14.9514734626542,64.8205128205128,NA,21.5384615384615,18.0435819670715
"Nikumaroro",2009,"Norwich City","N6",26,3.89743589730769,8.04364164645517,10.0512820511538,NA,82.7179487180769,16.2927911276643
"Nikumaroro",2009,"SW Corner","N10",39,24.9230769230769,25.8979623414912,30.8717948717949,NA,12.7179487179487,13.7303902615382
"Nikumaroro",2009,"Turtle Nest Beach","N8",36,35.3333333333333,26.0021977093146,25.2222222222222,NA,11,11.0427739786186
"Nikumaroro",2009,"Windward Wing","N11",38,5.57894736842105,8.44899347578821,48.9473684210526,NA,8.94736842105263,9.54915411117528
"Nikumaroro",2012,"Amelia Lost Causeway","N3",30,20.0666666666667,24.7329646470027,59.4666666666667,NA,10.2666666666667,8.86268167299162
"Nikumaroro",2012,"Electra Landing","N9",30,31.8666666666667,24.8578487339142,9.10877192983333,NA,15.1543859649,12.8294687563834
"Nikumaroro",2012,"Kandy Jar","N5",30,0.666666666666667,2.94001329264334,4.06666666666667,NA,94.4,7.92029257557817
"Nikumaroro",2012,"Naia Point","N4",30,1.93333333333333,6.35682274428813,3.66666666666667,NA,91.2666666666667,7.88684340218409
"Nikumaroro",2012,"Norwich City","N6",30,0.0666666666666667,0.365148371670111,1.8,NA,97.2,3.26316960363217
"Nikumaroro",2012,"SW Corner","N10",31,36.9677419354839,27.1483380350348,10.4516129032258,NA,14.3870967741935,11.597923432968
"Nikumaroro",2012,"Turtle Nest Beach","N8",30,51.6,28.5289931171057,7.13333333333333,NA,9.33333333333333,11.8185515575954
"Nikumaroro",2012,"Windward Wing","N11",30,42.4,31.0434623024581,18.3333333333333,NA,23.4666666666667,20.9098777735726
"Nikumaroro",2015,"Amelia Lost Causeway","N3",39,32.8205128205128,22.8114373377546,30.9230769230769,NA,30.2564102564103,15.4591447110014
"Nikumaroro",2015,"Ameriki","N7",40,20.35,27.7493820675021,21.05,NA,21.95,15.548023206859
"Nikumaroro",2015,"Electra Landing","N9",40,31.65,21.0926527492395,30.4,NA,13.2,7.74993796501227
"Nikumaroro",2015,"Hydroid Hole","N15",40,48.2,26.957896897351,17.9,NA,18.8,11.2846617026648
"Nikumaroro",2015,"Kandy Jar","N5",40,4.3,12.6048423743437,12.75,NA,81.8,21.1165265208957
"Nikumaroro",2015,"Naia Point","N4",40,3.85,10.2720681761457,35.85,NA,55.5,15.3104623186322
"Nikumaroro",2015,"Nikitas Lookout","N14",40,47.35,25.7538147535268,18.9,NA,18.15,10.6543598876415
"Nikumaroro",2015,"Norwich City","N6",40,3.9,9.62848338564762,15.2,NA,80.45,17.20755647964
"Nikumaroro",2015,"SW Corner","N10",40,62.4,24.2008688125458,16.6,NA,13.45,9.51099229097439
"Nikumaroro",2015,"Turtle Nest Beach","N8",40,23.9,18.2795949009706,20.75,NA,31.1,17.1146960391595
"Nikumaroro",2015,"Windward Wing","N11",40,52.35,33.6372427907536,16.75,NA,29.05,25.736285867553
"Nikumaroro",2018,"Amelia Lost Causeway","N3",26,18,11.2356575241505,8.11538461538461,NA,71.4615384615385,14.9324633446214
"Nikumaroro",2018,"Kandy Jar","N5",26,1.92307692307692,4.2794679755603,29.7692307692308,NA,44.0384615384615,27.4772353328799
"Nikumaroro",2018,"Norwich City","N6",26,2.07692307692308,4.95518376590073,0.846153846153846,NA,86.0384615384615,19.9408741417838
"Nikumaroro",2018,"SW Corner","N10",26,20.3461538461538,25.1570146204868,45.6538461538462,NA,24.8461538461538,13.1383174194942
"Nikumaroro",2018,"Windward Wing","N11",26,28.1923076923077,20.6823968258405,17.8076923076923,NA,43.4615384615385,17.6798886178183
"Orona",2009,"Aerials","O11",40,39.1,26.5096015503624,25.7,NA,22.3,17.8400298953412
"Orona",2009,"Algae Corner","O7",40,6.7,13.2010100623652,15,NA,71.8,22.572049882486
"Orona",2009,"Dolphin Ledge","O8",40,16.1,12.3034287487009,77.7,NA,1.4,3.07846115403834
"Orona",2009,"Far Side","O13",39,10.5641025641026,9.60206905278581,68.5128205128205,NA,12,9.35836242984963
"Orona",2009,"Orona Lagoon 1","O1",22,22.3636363636364,12.9855064061197,2.90909090909091,NA,42,23.085761433238
"Orona",2009,"Orona Lagoon 3","O3",39,36.6153846153846,18.9966969214947,21.8461538461538,NA,20.6153846153846,13.7508188935392
"Orona",2012,"Aerials","O11",45,32.0444444444444,22.5408271562711,12.0444444444444,NA,46.3111111111111,22.851121140411
"Orona",2012,"Algae Corner","O7",55,9.01818181818182,19.4169560389414,1.74545454545455,NA,75.2727272727273,22.9826460661522
"Orona",2012,"Dolphin Ledge","O8",29,49.6551724137931,26.0662286467005,33.5862068965517,NA,9.93103448275862,12.6545616689984
"Orona",2015,"Aerials","O11",40,42.95,23.2268081187367,13.45,NA,38.15,22.8142443133614
"Orona",2015,"Algae Corner","O7",40,10.15,19.2654200643643,4.85,NA,73.95,20.4136078294697
"Orona",2015,"Bolbo Corner","O18",40,8.2,12.8086509227763,36.5,NA,37.45,20.9271630625404
"Orona",2015,"Dolphin Ledge","O8",41,52.1463414634146,22.6335602321086,23.7560975609756,NA,13.5121951219512,9.63099670651878
"Orona",2015,"Far Side","O13",40,14.85,16.1714373082724,36.7,NA,24.45,11.6397858822495
"Orona",2015,"Grouper Grotto","O20",40,33.35,28.3725671045565,33.75,NA,19.7,15.0387533580448
"Orona",2015,"Manta Ledge","O17",40,44,29.8543472761012,23.2,NA,18,12.4529885199065
"Orona",2015,"Orona Lagoon 1","O1",40,64.35,12.3777094935894,10.85,NA,14.75,8.64914402167592
"Orona",2015,"Softies","O16",40,21.95,24.6472029931312,55.35,NA,4.75,4.9133517725709
"Orona",2015,"Windy City","O19",40,16.45,20.1455600503831,24.65,NA,41.6,20.9967030378947
"Orona",2018,"Algae Corner","O7",26,1.80769230769231,3.66627037485487,32.6538461538462,NA,57.4615384615385,13.464711713901
"Orona",2018,"Bolbo Corner","O18",26,13.3076923076923,13.4841217163573,58.7692307692308,NA,5.5,5.6938563381947
"Orona",2018,"Dolphin Ledge","O8",24,31.125,15.954589090399,46.0416666666667,NA,8.04166666666667,9.06728072302523
"Orona",2018,"Manta Ledge","O17",26,22.5384615384615,12.1498338070305,40.0769230769231,NA,6.84615384615385,6.93219911827298
"Rawaki",2009,"Clearwater","R3",36,78.2222222222222,18.5766537215954,15.2222222222222,NA,4.77777777777778,6.32957281840505
"Rawaki",2009,"Deepwater","R1",41,66.0487804878049,25.4891655605987,16.9756097560976,NA,7.90243902439024,8.17252983490663
"Rawaki",2012,"Clearwater","R3",49,44.1224489795918,38.4933071309488,0.448979591836735,NA,35.4285714285714,30.4740326617051
"Rawaki",2012,"Deepwater","R1",90,35.8666666666667,34.7805964244498,0.311111111111111,NA,27.6444444444444,25.3170063689537
"Rawaki",2012,"Stillwater","R2",43,58.6976744186046,35.7741159976775,1.53488372093023,NA,22.8837209302326,22.7085145582901
"Rawaki",2015,"Clearwater","R3",40,27.45,23.8111695401926,18.25,NA,44.05,16.9855896691948
"Rawaki",2015,"Deepwater","R1",40,29.95,34.1204127188193,2.75,NA,57.85,33.0295516477484
"Rawaki",2015,"Farwater","R4",40,20.75,21.1644961536035,32.85,NA,26.85,19.7361441172126
"Rawaki",2015,"Montipora Madness","R7",40,46.3,15.9842871563744,26.6,NA,5.3,5.53867520955355
"Rawaki",2015,"Rawaki 3D","R5",40,13.3,24.2658354323681,8,NA,61.55,32.7304061566533
"Rawaki",2015,"Stillwater","R2",40,30.9,26.0136059074418,14.45,NA,45.45,22.1787031134571
"Rawaki",2015,"Washing Machine","R6",40,15.25,15.9530561335438,46.25,NA,25.25,21.0381216866564
"Rawaki",2018,"Clearwater","R3",26,15.9230769230769,18.1965339049459,19.5769230769231,NA,46.4615384615385,23.2881614031349
"Rawaki",2018,"Rawaki 3D","R5",26,16.0769230769231,18.0685872760946,27.9230769230769,NA,28.0384615384615,21.9717650983816
"Rawaki",2018,"Stillwater","R2",26,25.3076923076923,30.911187917347,25.0384615384615,NA,18.9615384615385,16.6624866553123
