"Island","Event","Par","Anomaly"
"Kanton","ENSO2",47.2076724625,-3.24329908267374
"Kanton","ENSO3",39.99135,-10.4596215451737
"Kanton","ENSO1",42.0323404868421,-8.41863105833164
"Nikumaroro","ENSO2",46.97959108,-4.14846099532468
"Nikumaroro","ENSO3",44.22494,-6.90311207532467
"Nikumaroro","ENSO1",42.1787343368421,-8.94931773848257
"Orona","ENSO2",48.1909356666667,-1.919626675
"Orona","ENSO3",42.5216333333333,-7.58892900833333
"Orona","ENSO1",40.7909940526316,-9.31956828903509
"Rawaki","ENSO2",49.73837245,-2.04496630625
"Rawaki","ENSO3",44.134,-7.64933875625
"Rawaki","ENSO1",41.22754,-10.55579875625
